title,url,article_section,summary,date,code,tags,text
                     قائدی در میان ستاره‌های جوان لیگ قهرمانان آسیا                 ,https://roozno.com/fa/news/412252/قائدی-در-میان-ستاره‌های-جوان-لیگ-قهرمانان-آسیا,[], ,2020-02-06 16:06:00,                     ,"['قائدی', 'لیگ قهرمانان آسیا']",
                     خط و نشان مهدی قائدی برای پرسپولیس                 ,https://roozno.com/fa/news/412251/خط-و-نشان-مهدی-قائدی-برای-پرسپولیس,[], ,2020-02-06 16:04:00,                     ,"['مهدی قائدی', 'خط ونشان']",
                     تبریک قلعه‌نویی به اسکوچیچ                 ,https://roozno.com/fa/news/412249/تبریک-قلعه‌نویی-به-اسکوچیچ,[], ,2020-02-06 15:34:00,                     ,"['قلعه نویی', 'تبریک']",
                     قائدی، کریمی و مجیدی محبوب‌ترین استقلالی‌ها روی سکوهای آزادی                 ,https://roozno.com/fa/news/412247/قائدی-کریمی-و-مجیدی-محبوب‌ترین-استقلالی‌ها-روی-سکوهای-آزادی,[],پ,2020-02-06 15:22:00,                     ,"['سکوهای آزادی', 'محبوب ترین استقلالی ها']",
                     واکنش باشگاه پرسپولیس به فتوشاپ دردسر ساز قبل از دربی                 ,https://roozno.com/fa/news/412250/واکنش-باشگاه-پرسپولیس-به-فتوشاپ-دردسر-ساز-قبل-از-دربی,[], ,2020-02-06 15:39:00,                     ,"['باشگاه پرسپولیس', 'فتوشاپ']",
                     اشتباه‌ عجیب هیات فوتبال تهران در دربی/ عکس                 ,https://roozno.com/fa/news/412248/اشتباه‌-عجیب-هیات-فوتبال-تهران-در-دربی-عکس,[], ,2020-02-06 15:27:00,                     ,"['دربی', 'هیات فوتبال']",
                     روسیه چگونه توانست همزمان از نزدیکترین شرکای ایران و اسرائیل باشد؟ / پوتین به 3 دلیل خواستار ادامه نخست وزیری نتانیاهوست                 ,https://roozno.com/fa/news/412246/روسیه-چگونه-توانست-همزمان-از-نزدیکترین-شرکای-ایران-و-اسرائیل-باشد-پوتین-به-3-دلیل-خواستار-ادامه-نخست-وزیری-نتانیاهوست,[],در 23 ژانویه، ولادیمیر پوتین، رئیس جمهور روسیه برای شرکت در بزرگداشت 75امین سالگرد آزادسازی اردوگاه کار اجباری آشویتس توسط نیروهای شوروی، عازم اسرائیل شد. بعد از سال‌های 2005 و 2012 این سومین سفر رسمی وی به اسرائیل از زمان به قدرت رسیدن در سال 2001 بود.,2020-02-06 15:20:00,                     ,"['روسیه', 'ایران و اسرائیل']",
                     پیش‌بینی بازیگران سینما و تلویزیون از نتیجه دربی پایتخت                 ,https://roozno.com/fa/news/412245/پیش‌بینی-بازیگران-سینما-و-تلویزیون-از-نتیجه-دربی-پایتخت,[], ,2020-02-06 14:59:00,                     ,"['دربی', 'پیش بینی بازیگران']",
                     دلار به 13700 رسید، یورو 15000تومان شد                 ,https://roozno.com/fa/news/412244/دلار-به-13700-رسید-یورو-15000تومان-شد,[], ,2020-02-06 14:56:00,                     ,"['دلار', 'قیمت']",
                     استخدام ۲۶ هزار معلم در آموزش و پرورش                 ,https://roozno.com/fa/news/412243/استخدام-۲۶-هزار-معلم-در-آموزش-و-پرورش,[], ,2020-02-06 14:50:00,                     ,"['آموزش و پرورش', 'استخدام']",
